"20.12.19";"09:00";"12:30";"HFWI5-3733 Programmiersprachen und Datenbankabfragen";"Bern IFA";"210"
"23.12.19";"08:00";"17:00";"xmas-Ferien";"";"20700"
"25.12.19";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"01.01.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"06.01.20";"13:00";"16:30";"INFSYS2-8831 Virtualisierungslösungen konzipieren und realisieren";"Zürich Altstetten IFA";"210"
"08.01.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"09.01.20";"17:00";"21:30";"HFWI6-8712 Software-Architekturen";"Zürich Altstetten IBZ";"270"
"10.01.20";"08:00";"12:30";"HFWI5-3733 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"13.01.20";"13:00";"16:30";"INFSYS2-8831 Virtualisierungslösungen konzipieren und realisieren";"Zürich Altstetten IFA";"210"
"13.01.20";"17:45";"21:15";"INFSYS2-8832 Virtualisierungslösungen konzipieren und realisieren";"(J. Reinholdt)";"210"
"14.01.20";"17:40";"21:40";"AKAD 1HFWI_ZH2_H19";"";"240"
"15.01.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"16.01.20";"17:00";"21:30";"HFWI6-8712 Software-Architekturen";"Zürich Altstetten IBZ";"270"
"17.01.20";"13:00";"17:30";"HFWI5-3733 Programmiersprachen und Datenbankabfragen";"Bern IFA";"270"
"21.01.20";"08:00";"12:30";"HFWI6-8713 Software-Architekturen";"Zürich Altstetten IFA";"270"
"21.01.20";"17:40";"21:40";"AKAD 2HFWI_ZH2_F19";"";"240"
"22.01.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"23.01.20";"11:15";"12:15";"Augenärztin Dr. Walser";"";"60"
"28.01.20";"08:00";"12:30";"HFWI6-8713 Software-Architekturen";"Zürich Altstetten IFA";"270"
"29.01.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"04.02.20";"13:00";"17:30";"HFWI6-8713 Software-Architekturen";"Zürich Altstetten IFA";"270"
"04.02.20";"17:00";"21:30";"HFWI6-8712 Software-Architekturen";"Zürich Altstetten IFA";"270"
"05.02.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"08.02.20";"13:05";"16:35";"AKAD 1HFWI_ZH1_H19";"";"210"
"11.02.20";"17:40";"21:05";"AKAD 1HFWI_ZH2_H19";"";"205"
"12.02.20";"08:00";"12:30";"HFWI6-9713 Software-Architekturen";"St. Gallen IFA";"270"
"12.02.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"13.02.20";"08:00";"12:30";"HFI3-8833 IT-Architekturen";"Zürich Altstetten IFA";"270"
"18.02.20";"17:40";"21:05";"AKAD 1HFWI_ZH2_H19";"";"205"
"19.02.20";"08:00";"12:30";"HFWI6-9713 Software-Architekturen";"St. Gallen IFA";"270"
"19.02.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"20.02.20";"08:00";"12:30";"HFI3-8833 IT-Architekturen";"Zürich Altstetten IFA";"270"
"22.02.20";"13:05";"16:35";"AKAD 1HFWI_ZH1_H19";"";"210"
"26.02.20";"13:00";"17:30";"HFWI6-9713 Software-Architekturen";"St. Gallen IFA";"270"
"26.02.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"27.02.20";"08:00";"12:30";"HFI3-8833 IT-Architekturen";"Zürich Altstetten IFA";"270"
"27.02.20";"17:00";"21:30";"HFWI6-8712 Software-Architekturen";"Zürich Altstetten IBZ";"270"
"03.03.20";"08:00";"12:30";"HFWI6-8713 Software-Architekturen";"Zürich Altstetten IFA";"270"
"04.03.20";"13:30";"17:30";"Zusatz-Termin mit WISS DPIM-824";"";"240"
"04.03.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
"05.03.20";"08:00";"12:30";"HFI3-8833 IT-Architekturen";"Zürich Altstetten IFA";"270"
"07.03.20";"13:05";"16:35";"AKAD 1HFWI_ZH1_H19";"";"210"
"10.03.20";"17:40";"21:05";"AKAD 1HFWI_ZH2_H19";"";"205"
"11.03.20";"08:00";"12:30";"HFWI6-9713 Software-Architekturen";"St. Gallen IFA";"270"
"11.03.20";"20:15";"21:15";"Turnen mit Brigitte";"Klusplatz";"60"
